TAXONNAME,Size,Diet,Mobility,Activity,Schooling,Position
Hemigymnus_fasciatus,5,Planktivores,Mobile within reef,Diurnal,Solitary,Benthic
Hemitaurichthys_thompsoni,3,Planktivores,Mobile within reef,Diurnal,LargeG,Pelagic
Hipposcarus_longiceps,5,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,MedG,Benthic
Hologymnosus_annulatus,4,Macroinvertivores,Mobile across reefs,Diurnal,Solitary,Benthic
Hologymnosus_doliatus,5,Macroinvertivores,Mobile across reefs,Diurnal,SmallG,Benthic
Kyphosus_cinerascens,5,Herbivores Microvores Detritivores,Mobile across reefs,Diurnal,MedG,Bentho-Pelagic
Kyphosus_sp,5,Herbivores Microvores Detritivores,Mobile across reefs,Diurnal,MedG,Bentho-Pelagic
Labridae,2,Microinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Labroides_bicolor,3,Microinvertivores,Sedentary,Diurnal,Pairing,Benthic
Labroides_dimidiatus,2,Planktivores,Sedentary,Diurnal,Pairing,Benthic
Labroides_rubrolabiatus,2,Microinvertivores,Sedentary,Diurnal,Pairing,Benthic
Labropsis_xanthonota,2,Microinvertivores,Sedentary,Diurnal,Solitary,Benthic
Lepidozygus_tapeinosoma,2,Herbivores Microvores Detritivores,Sedentary,Diurnal,LargeG,Bentho-Pelagic
Lethrinus_olivaceus,6,Piscivores,Mobile across reefs,Both diurnal and nocturnal,Solitary,Benthic
Lutjanus_bohar,6,Crustacivores,Mobile within reef,Nocturnal,MedG,Bentho-Pelagic
Lutjanus_gibbus,5,Crustacivores,Mobile within reef,Both diurnal and nocturnal,MedG,Benthic
Lutjanus_kasmira,4,Crustacivores,Mobile within reef,Nocturnal,LargeG,Bentho-Pelagic
Lutjanus_monostigma,5,Crustacivores,Mobile within reef,Nocturnal,SmallG,Bentho-Pelagic
Luzonichthys_whitleyi,1,Crustacivores,Sedentary,Diurnal,LargeG,Bentho-Pelagic
Macropharyngodon_meleagris,3,Herbivores Microvores Detritivores,Sedentary,Diurnal,SmallG,Benthic
Melichthys_niger,4,Herbivores Microvores Detritivores,Mobile across reefs,Diurnal,MedG,Pelagic
Melichthys_vidua,4,Herbivores Microvores Detritivores,Mobile across reefs,Diurnal,MedG,Pelagic
Mobula_sp,6,Planktivores,Mobile across reefs,Nocturnal,Solitary,Pelagic
Monotaxis_grandoculis,5,Macroinvertivores,Mobile within reef,Nocturnal,Solitary,Bentho-Pelagic
Mulloidichthys_mimicus,4,Crustacivores,Mobile within reef,Diurnal,SmallG,Benthic
Mulloidichthys_vanicolensis,4,Crustacivores,Mobile within reef,Diurnal,MedG,Benthic
Myripristinae,3,Crustacivores,Mobile within reef,Nocturnal,SmallG,Bentho-Pelagic
Myripristis_adusta,4,Crustacivores,Mobile within reef,Nocturnal,SmallG,Bentho-Pelagic
Myripristis_amaena,3,Planktivores,Mobile within reef,Nocturnal,SmallG,Bentho-Pelagic
Myripristis_berndti,4,Crustacivores,Mobile within reef,Nocturnal,SmallG,Bentho-Pelagic
Myripristis_earlei,3,Crustacivores,Mobile within reef,Nocturnal,SmallG,Bentho-Pelagic
Myripristis_kuntee,3,Planktivores,Mobile within reef,Nocturnal,SmallG,Bentho-Pelagic
Myripristis_murdjan,3,Crustacivores,Mobile within reef,Nocturnal,SmallG,Bentho-Pelagic
Naso_brevirostris,5,Herbivores Microvores Detritivores,Mobile across reefs,Diurnal,LargeG,Bentho-Pelagic
Naso_hexacanthus,5,Planktivores,Mobile across reefs,Diurnal,LargeG,Pelagic
Naso_lituratus,4,Herbivores Microvores Detritivores,Mobile within reef,Diurnal,SmallG,Benthic
Naso_vlamingii,5,Herbivores Microvores Detritivores,Mobile across reefs,Diurnal,SmallG,Bentho-Pelagic
Neocirrhites_armatus,2,Crustacivores,Sedentary,Diurnal,Solitary,Benthic
Neoniphon_sp,3,Crustacivores,Mobile within reef,Nocturnal,SmallG,Bentho-Pelagic
Novaculichthys_taeniourus,4,Macroinvertivores,Mobile within reef,Diurnal,Solitary,Benthic
Odonus_niger,4,Macroinvertivores,Mobile across reefs,Diurnal,MedG,Pelagic
Ostorhinchus_angustatus,2,Microinvertivores,Sedentary,Nocturnal,SmallG,Benthic
Ostorhinchus_apogonoides,2,Planktivores,Sedentary,Nocturnal,Pairing,Bentho-Pelagic
Ostracion_meleagris,3,Sessile invertivores,Mobile within reef,Diurnal,Solitary,Benthic
Oxycheilinus_unifasciatus,4,Crustacivores,Mobile within reef,Diurnal,SmallG,Benthic
Paracirrhites_arcatus,3,Crustacivores,Sedentary,Diurnal,Solitary,Benthic
Paracirrhites_forsteri,3,Crustacivores,Sedentary,Diurnal,Solitary,Benthic
Paracirrhites_hemistictus,3,Crustacivores,Sedentary,Diurnal,Solitary,Benthic
Paracirrhites_xanthus,2,Crustacivores,Sedentary,Diurnal,Solitary,Benthic
